Organization,Country,Website,Email Contacted,Date Emailed,Email Sent,Response Received,Follow-up Sent,Acceptance,Notes
COnservation X labs,USA,https://www.conservationxlabs.com/about#contact,"Hi Conservation X Labs Team,

My name is Jackson, and I’m a high school student in Japan inspired by your mission to drive innovation and technology for solving the world’s biggest conservation challenges. Your work, from the Digital Makerspace to prize competitions tackling extinction, is redefining how we protect our planet.

Your bold, collaborative approach resonates with students like us around the world. In Japan, there’s a growing interest in environmental innovation and youth-led impact. I’d love to launch a student-led CXL chapter that promotes your mission, sparks student innovation, and builds awareness across schools in Japan.

Would someone from your team be open to a brief conversation? I’d be excited to share ideas on how we can help amplify your impact globally from here in Japan.",28/07/2025,TRUE,FALSE,FALSE,waiting,
Village Enterprise,USA,https://villageenterprise.org/contact-us/,"Hi Village Enterprise Team,

My name is Jackson, and I’m a high school student in Japan inspired by your mission to end extreme poverty through entrepreneurship and innovation. Your work supporting first-time entrepreneurs in East Africa through cash transfers, mentorship, and business training is a powerful model for sustainable change.

Although based in the U.S., your impact resonates with students like us around the world. In Japan, youth interest in social entrepreneurship and global equity is growing. I’d love to launch a student-led Village Enterprise chapter here to raise awareness, fundraise, and engage students in your mission across the country.

Would someone from your team be open to a quick conversation? I’d be grateful for the opportunity to share how we can help support your vision from Japan.",28/07/2025,TRUE,FALSE,FALSE,waiting,
Himalayan Foundation,USA,https://www.himalayan-foundation.org/,"My name is Jackson, and I’m a high school student in Japan deeply inspired by your work supporting Himalayan communities through education, health care, and cultural preservation. Your impact, from keeping girls in school to fighting human trafficking and protecting fragile mountain environments, is incredibly meaningful.

Your mission resonates strongly with students like us around the world. In Japan, there’s a growing interest in global development and cultural stewardship. I’d be honored to start a student-led HF chapter to raise awareness and support across Japanese schools and communities.

Would someone from your team be open to a brief conversation? I’d be honored to share how we can help grow your impact from Japan.",28/07/2025,TRUE,FALSE,FALSE,waiting,
SewHope,USA,https://www.sewhope.org/,"Good evening SewHope Team,

My name is Jackson, and I’m a high school student in Japan deeply inspired by your mission to empower women and communities in Guatemala through health care, education, and hope. Your work through your holistic approach to maternal care, literacy, and community development is truly powerful and needed.

Your mission resonates strongly with students like us around the world. In Japan, youth interest in global health and women's empowerment is growing, and I’d love to start a student-led SewHope chapter here to raise awareness, fundraise, and help extend your message and impact.

Would someone from your team be open to a brief conversation? I’d be honored to share more about how we can help support your mission from Japan.",29/07/2025,TRUE,FALSE,FALSE,waiting,
Give to Columbia,,https://givetocolombia.org/,"Hi, Give To Colombia Team,

My name is Jackson, and I’m a high school student in Japan deeply inspired by your mission to mobilize resources for high-impact, sustainable projects across Colombia. The way you partner with trusted local organizations and maintain such high standards for transparency and accountability truly sets you apart.

Your work resonates with globally-minded students like us. I’d love to launch a student-led Give To Colombia Japan Chapter that would engage young people across Japanese schools in raising awareness and support for your initiatives, particularly in education, clean water, and women’s empowerment.

Would someone from your team be open to a brief conversation? I’d love to share more about the vision and how we can support your impact from Japan.
",29/07/2025,TRUE,TRUE,TRUE,Partnered,
Bridges2learning,,https://bridges2learning.org/,"Hi Bridges to Learning Team,

My name is Jackson, and I’m a high school student in Japan inspired by your mission to empower impoverished children in Vietnam through education, health, and social development. Your organization's work in sponsoring students and supporting dormitories, providing school meals, supplies, and healthcare services at Anh Linh and Viet Anh schools is quite impactful.

Your mission resonates strongly with globally minded students like us. I'd be honored to launch a student-led Bridges to Learning Japan Chapter to raise awareness, funds, and impact in schools throughout Japan and communities to help support your life-changing work.

Would someone from your outreach or partnerships team be open to a brief call? I’d love to share more about how we can elevate B2L’s impact from Japan in a structured, volunteer-led, and mission-aligned approach.

Warm regards,

Jackson Bomongcag

American School in Japan

27bomongcagj@asij.ac.jp",29/07/2025,TRUE,TRUE,FALSE,Partnered,
Sustainable cambodia,,https://sustainablecambodia.org/,"Hi Sustainable Cambodia Team,

My name is Jackson, and I’m a high school student in Japan deeply inspired by your mission to empower rural Cambodian families toward self‑sufficiency through clean water, agriculture, education, and long‑term village development.

Your mission resonates deeply with globally-minded students like us. I’d be honored to launch a student-led Sustainable Cambodia Japan Chapter to raise awareness of your holistic work and support your impactful programs in schools and communities across Japan.

We would align fully with your values of sustainability, empowerment, accountability, and community-driven growth by using only approved messaging, seeking approval on campaign materials, and providing regular update reports.

Would someone from your outreach or partnerships team be open to a brief call? I’d love to share more about the vision and how a Japan chapter could meaningfully support your mission.",29/07/2025,TRUE,TRUE,TRUE,Partnered,
WOLA,South America,https://www.wola.org,"Dear WOLA Team,

I hope you’re well. My name is Lysandre, and I’m part of a student-led group at The American School in Japan (ASIJ), based in Tokyo. We deeply admire WOLA’s powerful advocacy for human rights, democracy, and justice across the Americas. Your rigorous policy research and strategic outreach serve as a model for us as young adults.

We are exploring ways to raise awareness in Japan around human rights challenges—particularly migration, civic space, and equitable policy, many of which echo WOLA’s core themes. We believe your approach to shaping public discourse and influencing policy could be adapted through student-led events, publications, or dialogues in Japanese high school communities.

We would be honored to learn more about WOLA’s strategies: how you design educational materials, mobilize civil society, and engage policymakers. If there’s a way our group could support or learn from your work—maybe via a virtual discussion or collaborative project—we would be deeply grateful.

Thank you for your impact that goes beyond the Americas and inspires global youth. We would love to connect with anyone on your partnerships or outreach team at your convenience.

Warm regards,  
Lysandre Stone-Bourgeois  
The American School in Japan (ASIJ)  
Tokyo, Japan  
lysandrestonebourgeois@gmail.com",29/07/2025,TRUE,FALSE,FALSE,waiting,
CHEIF,South America,WWW.CHIEF.ORG,"I hope this finds you well. My name is Lysandre, a student leader at The American School in Japan (ASIJ) in Tokyo. We’ve been deeply inspired by CHIEF’s mission to empower senior women executives through community, coaching, and leadership insights.

Although our group is composed of high school students in Japan, we share CHIEF’s commitment to elevating women leaders. We aim to foster leadership skills, mentorship, and empowerment for young women through seminars, peer coaching circles, and dialogue panels.

We would be honored to learn from CHIEF’s programming: how you structure coaching sessions, cultivate peer groups, and scale leadership engagement among emerging women leaders. If possible, we’d love to explore hosting a virtual exchange or mentorship session with CHIEF members, or adapt your model for a youth‑focused leadership initiative in Japan.

Thank you for building a transformative network for women’s leadership. We believe your insights could help create a new generation of leaders here. Would someone on your partnerships or outreach team be open to a brief conversation?

Lysandre Stone-Bourgeois  
The American School in Japan (ASIJ)  
Tokyo, Japan  
lysandrestonebourgeois@gmail.com",29/07/2025,TRUE,FALSE,FALSE,waiting,
Contemplative Outreach,South America,http://www.contemplativeoutreach.org/,"Dear Contemplative Outreach Team,

I hope you are well. My name is Lysandre, representing a student-led group at The American School in Japan (ASIJ) in Tokyo. We’ve been moved by Contemplative Outreach’s powerful mission to foster personal and communal spiritual transformation through Centering Prayer and contemplative practice.

After looking at your impact, we believe contemplative practices offer profound value for young people navigating academic pressure and mental health challenges. We are exploring the idea of adapting elements of Centering Prayer or simple guided contemplation into youth‑friendly workshops or online sessions here in Japan (including non‑Christian and interfaith approaches).

We would be honored to learn more about how you structure online retreats, workshops, or introductory groups, and how you support communities in diverse cultural contexts. If there is any opportunity for collaboration, perhaps through translated resources, guest talks, or mentorship, I would greatly appreciate the chance to connect with someone from your outreach or education teams.

Thank you for your global example of contemplative living and for making spiritual transformation accessible globally.

Warm regards,  
Lysandre Stone‑Bourgeois  
ASIJ, Japan",29/07/2025,TRUE,TRUE,TRUE,Reject,
SAIEVAC,South Asia,https://saievac.org/,"Dear Dr. Rinchen Chophel,

I hope you’re well. My name is Lysandre, and I’m reaching out from a student-led group at The American School in Japan (ASIJ) in Tokyo. We have been deeply inspired by SAIEVAC’s regional efforts to prevent violence against children across South Asia, most notably: tackling child marriage, trafficking, abuse, and neglect through national strategies and intergovernmental cooperation.

We share your vision of empowering young people to understand and uphold children's rights. We are considering student-led awareness campaigns in Japan that address child protection, human rights, and regional solidarity—with possible comparison or dialogue with South Asian efforts.

We would greatly appreciate learning about SAIEVAC’s strategies: how you engage youth, monitor policy implementation, and foster cross-border collaboration. If opportunities for student engagement, translation of resources, or virtual exchanges exist, we’d welcome a short discussion about collaboration.

Thank you for your vital leadership in protecting children’s rights across the region. We hope to learn from and support your mission from afar.

I hope we have the opportunity to work together.
Lysandre Stone-Bourgeois  
The American School in Japan (ASIJ)  
lysandrestonebourgeois@gmail.com",29/07/2025,TRUE,FALSE,FALSE,waiting,
SADP,Southeast Asia,WWW.SADP-ASIA.ORG,"Dear Asia America Initiative Team,

I hope this finds you well. My name is Lysandre, and I represent a student-led group at The American School in Japan (ASIJ), Tokyo. We admire AAI’s mission to empower communities affected by conflict and severe poverty through health, education, livelihood, and peace-building programs.

We are exploring student-led initiatives to raise awareness in Japan about global issues such as post-conflict recovery, sustainable development, and interfaith cooperation, values that resonate with your work. We’d love to learn how AAI designs and implements integrated programs, and consider ways Japanese students can support or amplify your impact.

Does anyone on your partnerships or outreach team have time for a brief virtual conversation? We would be grateful to explore collaboration ideas, such as a fundraising campaign or a cultural storytelling exchange connecting students in Japan and your program communities.

Thank you for your inspiring global leadership.

I hope we have the opportunity to work together.
Lysandre Stone-Bourgeois  
The American School in Japan (ASIJ)  
lysandrestonebourgeois@gmail.com
",29/07/2025,TRUE,FALSE,FALSE,waiting,
Action Against Hate,USA,https://www.actionagainsthate.org/,"Dear Action Against Hate Team,

I hope you’re well. My name is Lysandre, representing a student-led group at The American School in Japan (ASIJ), Tokyo. We admire your work in providing reporting resources, emergency assistance, and advocacy around anti-Asian hate in the U.S.

We are planning a student-led awareness campaign in Japan focused on combating racism and hate against Asian communities, through workshops, social media, and peer dialogues. We believe your hotline, educational materials, and community-based model can inspire and inform our efforts.

Would someone on your outreach or education team be open to a short conversation? We’d deeply appreciate learning about your approach to reporting mechanisms, public messaging, and community intervention, as well as discussing ways we might share or collaborate your resources for students in Japan.

Thank you sincerely for your vital work in America. We hope to connect with you and share solidarity from across the globe.
",29/07/2025,TRUE,FALSE,FALSE,waiting,
PHP Network,USA,www.phpnetwork.org,"Dear People Helping People Network Team,

I hope you’re well. My name is Lysandre, and I’m part of a student-led group at The American School in Japan (ASIJ) in Tokyo. We deeply admire PHP Network’s mission to support individuals in crisis, restoring hope and dignity through community-based care.

In Japan, peer support and youth mental health resilience are emerging priorities. I believe your trauma-informed philosophy could inspire student-led programming, such as awareness workshops, peer mentoring circles, or translated resources for young people facing adversity.

We would be honored to learn more about your crisis response model, community partnerships, and youth engagement strategies. Would someone from your outreach or education team be open to a brief virtual conversation to explore how Japanese youth might support or adapt your mission?

Thank you for your vital, compassionate work. We hope to connect soon.
Lysandre Stone-Bourgeois  
The American School in Japan (ASIJ)  
lysandrestonebourgeois@gmail.com",29/07/2025,TRUE,FALSE,FALSE,waiting,
BackPack Blessings,USA,www.backpackblessings.org,"Dear Backpack Blessings Team,

I hope this message finds you well. My name is Lysandre, part of a student-led group at The American School in Japan (ASIJ). We’re inspired by your mission of ensuring children don’t experience hunger over the weekend through community-powered care.

While Japan is economically prosperous, food insecurity still affects families' and students' well-being. We’d love to learn from your model of school-based food support and community volunteering. We are interested in raising awareness here, translating your stories into Japanese, and organizing student‑led fundraising or solidarity campaigns.

Would someone from your partnerships or outreach team be available for a short virtual conversation? We’d be honored to explore ways in which Japanese students can learn from and even support your mission.

Thank you for your impactful work, and for nourishing futures one backpack at a time.
Lysandre Stone-Bourgeois  
The American School in Japan (ASIJ)  
lysandrestonebourgeois@gmail.com",29/07/2025,TRUE,FALSE,FALSE,waiting,
WAFAA,USA,https://www.wafaaorganization.org,"Dear WAFAA Team,

I hope this message finds you well. I’m Lysandre, a student leader at The American School in Japan (ASIJ). We’ve been deeply inspired by WAFAA’s mission to strengthen families and communities through education, counseling, and crisis‑response programs.

As young adults, we are eager to understand family resilience, mental health support, and community connection across cultures. We believe your holistic programs, especially around parenting classes, peer support, and crisis intervention, could inform youth-led projects in Japan.

We’d be honored to learn more about your educational model and how you engage youth and families. If possible, could someone from your outreach or education team share insights through a virtual chat? We’d welcome exploring ways to adapt and raise awareness of your work among youth here.

Thank you for your leadership in healing and community-building. I hope we have the opportunity to work together.
Lysandre Stone-Bourgeois  
The American School in Japan (ASIJ)  
lysandrestonebourgeois@gmail.com",29/07/2025,TRUE,TRUE,TRUE,Talking,
MAAHF, ,https://www.maahf.org/mission,"Hi Montclair African‑American Heritage Foundation Team,My name is Jackson, and I’m a high school student in Japan deeply moved by MAAHF’s dedication to preserving Montclair’s rich African-American heritage through exhibits, historic trolley tours, and cultural education programs. I admire how your legacy panels and annual parade bring history to life within the community.Although based in the U.S., your mission resonates with globally minded students like us. In Japan, we’re eager to foster cross-cultural appreciation, celebrate diverse stories, and support heritage education. I’d be honored to launch a student-led MAAHF Japan Chapter to raise awareness about your impact and engage Japanese students in supporting heritage preservation.Our chapter would:Host virtual presentations and storytelling events in Japanese schools to introduce Montclair’s history and MAAHF’s ongoing work Organize fundraising campaigns (e.g., awareness drives, cultural events) that funnel donations directly through your official channels, ensuring full transparency and accountability.Share updates and content adapted from your approved stories, such as your educational exhibits, scholarship programs, or parade highlights, aligned with your values of community education and cultural preservation We would not request financial support or excessive oversight, but only occasional guidance. All materials would be approved by you in advance, and we’d be happy to provide reports and update you regularly.Would someone from your outreach or partnerships team be open to a brief conversation? I’d love to discuss how we can support your mission from Japan through a respectful, volunteer-led, and mission-aligned chapter.",30/07/2025,TRUE,FALSE,FALSE,waiting,
Ace liberia,,https://www.aceliberia.org/,"Hi ACE Liberia Team,

My name is Jackson, and I’m a high school student in Japan inspired by your mission to support education, health, and livelihood projects in Liberia, especially your work with Ann Sandell Independent School, teacher training, literacy initiatives, and medical-equipment donations. 
Your mission resonates with global youth like us who believe in capacity-building, integrity, and sustainable impact. I’d be honored to launch a student-led ACE Liberia Japan Chapter to raise awareness and support for your efforts across Japanese schools and communities.

Our chapter would:

Host presentations and storytelling events in schools to highlight ACE’s impact in Liberia—educating peers about work at Ann Sandell Independent School, teacher training, literacy programs, and health initiatives.

Organize fundraising campaigns (e.g., school fairs, online events) that funnel donations directly through ACE’s official channels—ensuring 100% transparency and integrity.

Share consistent updates based on your verified materials, stories of school renovations, book and supply distributions, and teacher training outcomes, while fully aligning with your values of professionalism, inclusiveness, and integrity.

We will not seek financial support from ACE nor expect excessive oversight, just occasional guidance. All our public materials will be approved by your team, and we’ll provide regular reports and updates.

Would someone from your outreach or partnerships team be open to a brief conversation? I’d love to share more about how we can support ACE’s work from Japan in a mission-aligned, volunteer-led capacity.",30/07/2025,TRUE,FALSE,FALSE,waiting,
Africa Classroom Connection,,https://www.africaclassroomconnection.org/,"Hi Africa Classroom Connection Team,

My name is Jackson, and I’m a high school student in Japan inspired by your mission to bring education to underserved communities by building classrooms in rural KwaZulu‑Natal, South Africa. Your collaborative model has already helped over 63,000 students access safe learning environments.

Your values of sustainability, empowerment, and transparency have resonated deeply with globally minded youth like us. I’d be honored to launch a student‑led Africa Classroom Connection Japan Chapter focused on raising awareness, supporting fundraising, and sharing your story in Japanese schools and communities.

Our chapter would:

Host virtual presentations and storytelling events in schools to introduce ACC’s impact, highlighting how classrooms built by ACC have replaced outdoor, rain‑prone learning spaces and created safer communities (such as the story of Michael Nzuza, whose life changed through education) 

Organize fundraising campaigns (e.g., student-led events or online awareness drives) that funnel donations directly through your official channels. We will ensure full transparency, providing receipts and proof of donation, with none of the funds handled personally.

Share consistent updates based on your materials, like pending classroom waiting lists, community impact stories, and construction updates, while fully aligning with your values of integrity and co-investment.

We will not expect funding, in-person resources, or intensive supervision. Instead, we’ll operate as an advisory-supported structure, requesting only occasional guidance. All public-facing materials and campaigns would be submitted for your approval in advance.

Would someone from your outreach or partnerships team be open to a brief conversation? I’d be honored to share how our chapter could meaningfully support ACC’s mission from Japan in a structured, volunteer-led way.",30/07/2025,TRUE,TRUE,TRUE,Partnered,
Africa Cries out,,https://africacriesout.net/,"Hi Africa Cries Out Team,

My name is Jackson, and I’m a high school student in Japan inspired by your work supporting health, education, and self-sustaining development in West Africa. From building elementary and technical schools in Senegal to offering medical services, such as leprosy care and maternal health, and agricultural training, your mission of holistic development resonates deeply with me and my peers.

Your commitment to serving communities without administrative costs, ensuring nearly 100% of donations go directly to people, is both rare and impressive. Inspired by your principle of “teaching them to fish, instead of giving them a fish,” our generation in Japan is eager to support change that empowers people to sustain themselves.

I’d be honored to launch a student-led Africa Cries Out – Japan Chapter to raise awareness and support for your work through presentations, storytelling, and fundraising campaigns in schools and online, while sticking strictly to your values and standards.

Our chapter would:

Host virtual presentations and storytelling events to inform Japanese students about your schools, medical clinics, and vocational training programs, like your technical school in Senegal.

Organize fundraisers (e.g., awareness campaigns or school events) that funnel donations directly through your official channels, ensuring full transparency, receipts, and no personal handling of funds.

Share regular updates and impact stories (e.g., technical school graduates, dormitory needs, medical mission results), fully aligned with your messaging of hope, sustainability, and community partnership.

We would not ask for financial support or extensive oversight, but just occasional guidance and approval of materials. We’re happy to provide monthly updates and submit our public-facing materials for your review in advance.

Would someone from your outreach or partnerships team be open to a brief call? I’d love to discuss how a Japan chapter could support Africa Cries Out’s mission through respectful, volunteer-led work driven by shared values.",30/07/2025,TRUE,TRUE,FALSE,Partnered,
